product_id,location_id,year,month,day,unit_price,manual_model,_2021,Date
216,35,2021,7,1,1.768837209,187.1779354,258,1/7/21
216,36,2021,7,1,1.462926829,185.4088291,204,1/7/21
216,37,2021,7,1,1.772222222,210.9664339,166,1/7/21
216,39,2021,7,1,1.579583333,135.499108,140,1/7/21
216,40,2021,7,1,1.845789474,166.5892912,122,1/7/21
216,41,2021,7,1,1.6475,126.0367415,148,1/7/21
216,43,2021,7,1,1.944262295,148.8115686,142,1/7/21
216,35,2021,7,2,1.894857143,180.6936796,180,2/7/21
216,36,2021,7,2,1.816262626,182.3882178,270,2/7/21
216,37,2021,7,2,1.938545455,201.021255,264,2/7/21
216,39,2021,7,2,1.625714286,130.021064,168,2/7/21
216,40,2021,7,2,1.612,165.8096058,94,2/7/21
216,41,2021,7,2,1.645454545,120.5586975,140,2/7/21
216,43,2021,7,2,2.5625,151.1147706,164,2/7/21
216,35,2021,7,3,1.819302326,179.2303942,102,3/7/21
216,36,2021,7,3,1.818024691,179.9187206,202,3/7/21
216,37,2021,7,3,1.835054945,203.7765394,226,3/7/21
216,39,2021,7,3,1.39952381,120.6817296,116,3/7/21
216,40,2021,7,3,1.539306931,177.3800916,264,3/7/21
216,41,2021,7,3,1.445263158,111.1280952,116,3/7/21
216,43,2021,7,3,1.575423729,147.6083747,174,3/7/21
216,35,2021,7,4,2.34875,174.7166468,112,4/7/21
216,36,2021,7,4,1.639302326,185.1347451,102,4/7/21
216,37,2021,7,4,1.954324324,204.2924539,186,4/7/21
216,39,2021,7,4,2.003333333,124.1821166,24,4/7/21
216,40,2021,7,4,1.480689655,181.2351927,152,4/7/21
216,41,2021,7,4,1.116666667,95.57031667,40,4/7/21
216,43,2021,7,4,1.687647059,150.2691642,88,4/7/21
216,35,2021,7,5,1.793333333,180.7500528,52,5/7/21
216,36,2021,7,5,1.321538462,174.3555983,68,5/7/21
216,37,2021,7,5,1.763333333,205.6772146,44,5/7/21
216,39,2021,7,5,1.526,126.5784402,56,5/7/21
216,40,2021,7,5,1.406842105,180.0396132,54,5/7/21
216,41,2021,7,5,1.285714286,100.162026,36,5/7/21
216,43,2021,7,5,2.115714286,144.7000343,32,5/7/21
216,35,2021,7,6,2.066190476,176.9598777,104,6/7/21
216,36,2021,7,6,1.720638298,185.1322775,118,6/7/21
216,37,2021,7,6,2.018888889,204.2899862,140,6/7/21
216,39,2021,7,6,1.508857143,130.7224155,110,6/7/21
216,40,2021,7,6,1.481304348,182.1144668,128,6/7/21
216,41,2021,7,6,1.769047619,119.2130855,58,6/7/21
216,43,2021,7,6,2.39673913,145.9714701,128,6/7/21
216,35,2021,7,7,1.776666667,181.888716,138,7/7/21
216,36,2021,7,7,1.645294118,185.1322775,188,7/7/21
216,37,2021,7,7,1.749666667,205.6772146,148,7/7/21
216,39,2021,7,7,1.401428571,122.6582667,68,7/7/21
216,40,2021,7,7,1.267333333,161.5676669,172,7/7/21
216,41,2021,7,7,1.084736842,80.36315237,46,7/7/21
216,43,2021,7,7,1.957021277,147.4839976,110,7/7/21
216,35,2021,7,8,1.712739726,184.4439511,204,8/7/21
216,36,2021,7,8,1.7475,182.5770424,138,8/7/21
216,37,2021,7,8,1.522705882,208.9110191,214,8/7/21
216,39,2021,7,8,1.434680851,124.248338,142,8/7/21
216,40,2021,7,8,1.739565217,164.3249372,160,8/7/21
216,41,2021,7,8,1.495185185,122.8235754,78,8/7/21
216,43,2021,7,8,1.709259259,151.1484383,74,8/7/21
216,35,2021,7,9,1.7828,183.5736446,124,9/7/21
216,36,2021,7,9,1.420697674,183.5648169,98,9/7/21
216,37,2021,7,9,1.61835443,211.4290129,200,9/7/21
216,39,2021,7,9,1.267333333,112.1722093,126,9/7/21
216,40,2021,7,9,1.639565217,170.5924776,176,9/7/21
216,41,2021,7,9,1.332857143,108.4734873,110,9/7/21
216,43,2021,7,9,1.79875,151.3138012,84,9/7/21
216,35,2021,7,10,1.904210526,182.5674328,88,10/7/21
216,36,2021,7,10,1.806901408,184.261971,186,10/7/21
216,37,2021,7,10,1.639534884,211.4290129,216,10/7/21
216,39,2021,7,10,1.600508475,133.2404093,174,10/7/21
216,40,2021,7,10,1.544320988,177.6093209,194,10/7/21
216,41,2021,7,10,1.241481481,99.94751479,120,10/7/21
216,43,2021,7,10,1.489655172,156.0550552,156,10/7/21
216,35,2021,7,11,1.918,182.5674328,92,11/7/21
216,36,2021,7,11,1.9874,184.0134059,124,11/7/21
216,37,2021,7,11,1.497272727,212.6233245,152,11/7/21
216,39,2021,7,11,1.574,133.2404093,146,11/7/21
216,40,2021,7,11,1.336760563,175.7021111,154,11/7/21
216,41,2021,7,11,1.321515152,108.4734873,86,11/7/21
216,43,2021,7,11,2.287037037,148.7950619,62,11/7/21
216,35,2021,7,12,1.55,181.360868,62,12/7/21
216,36,2021,7,12,2.353809524,157.4086169,74,12/7/21
216,37,2021,7,12,1.872173913,206.5635763,136,12/7/21
216,39,2021,7,12,1.155,110.8408365,36,12/7/21
216,40,2021,7,12,1.882941176,168.6961599,74,12/7/21
216,41,2021,7,12,1.784666667,120.898014,42,12/7/21
216,43,2021,7,12,2.346774194,148.7950619,86,12/7/21
216,35,2021,7,13,1.762238806,184.1623062,186,13/7/21
216,36,2021,7,13,1.354464286,173.8055966,140,13/7/21
216,37,2021,7,13,1.531818182,207.9293475,194,13/7/21
216,39,2021,7,13,1.557894737,133.2404093,136,13/7/21
216,40,2021,7,13,1.72754386,170.5924776,190,13/7/21
216,41,2021,7,13,1.2575,100.162026,40,13/7/21
216,43,2021,7,13,1.410625,147.6325403,92,13/7/21
216,35,2021,7,14,1.2864,161.9762304,112,14/7/21
216,36,2021,7,14,1.472040816,184.6911706,280,14/7/21
216,37,2021,7,14,1.749166667,208.8395183,168,14/7/21
216,39,2021,7,14,1.411904762,127.9606434,128,14/7/21
216,40,2021,7,14,1.583,173.8015321,160,14/7/21
216,41,2021,7,14,1.055945946,85.38870539,82,14/7/21
216,43,2021,7,14,1.67765625,154.8607437,156,14/7/21
216,35,2021,7,15,1.860909091,182.0174311,170,15/7/21
216,36,2021,7,15,1.485142857,189.4888927,212,15/7/21
216,37,2021,7,15,1.871707317,206.5635763,200,15/7/21
216,39,2021,7,15,1.348918919,118.3207647,118,15/7/21
216,40,2021,7,15,2.544576271,112.5986066,342,15/7/21
216,41,2021,7,15,1.337727273,108.4734873,108,15/7/21
216,43,2021,7,15,1.946833333,150.3075894,188,15/7/21
216,35,2021,7,16,1.77875,183.0236429,168,16/7/21
216,36,2021,7,16,1.481685393,189.4888927,236,16/7/21
216,37,2021,7,16,1.666363636,206.9742355,180,16/7/21
216,39,2021,7,16,1.395116279,126.3705721,112,16/7/21
216,40,2021,7,16,1.381372549,180.7702611,308,16/7/21
216,41,2021,7,16,1.155,98.35275691,72,16/7/21
216,43,2021,7,16,2.258139535,148.7950619,102,16/7/21
216,35,2021,7,17,1.564705882,187.6062548,180,17/7/21
216,36,2021,7,17,1.602698413,188.2945812,162,17/7/21
216,37,2021,7,17,1.569354839,210.8790113,224,17/7/21
216,39,2021,7,17,1.42125,127.9606434,188,17/7/21
216,40,2021,7,17,1.878932039,168.6961599,406,17/7/21
216,41,2021,7,17,1.291578947,104.1569045,84,17/7/21
216,43,2021,7,17,1.616486486,154.8607437,228,17/7/21
216,35,2021,7,18,1.824761905,183.0236429,112,18/7/21
216,36,2021,7,18,1.654193548,188.2945812,188,18/7/21
216,37,2021,7,18,1.749104478,208.8395183,142,18/7/21
216,39,2021,7,18,1.562777778,133.2404093,104,18/7/21
216,40,2021,7,18,1.193764706,156.7996317,226,18/7/21
216,41,2021,7,18,1.228333333,99.94751479,56,18/7/21
216,43,2021,7,18,1.703333333,154.8607437,58,18/7/21
216,35,2021,7,19,1.875714286,182.0174311,56,19/7/21
216,36,2021,7,19,2.098695652,180.6794409,70,19/7/21
216,37,2021,7,19,1.688285714,206.9742355,74,19/7/21
216,39,2021,7,19,1.516956522,134.4347209,62,19/7/21
